id,technology,country.name,level,renewable,energy.source,producing.country,consuming.country,status,name,show
535,SWrEPTSONUTH,Swaziland,Centralised Generation,Renewable,Solar Thermal,Swaziland,Swaziland,New Uncommitted,Solar thermal no storage,yes
536,SWrEPTSONUTHst,Swaziland,Centralised Generation,Renewable,Solar Thermal,Swaziland,Swaziland,New Uncommitted,Solar thermal with Storage,yes
537,SWrEPWNDNU25,Swaziland,Centralised Generation,Renewable,Wind,Swaziland,Swaziland,New Uncommitted,Bulk Wind (20% CF),yes
538,SWrEPWNDNU30,Swaziland,Centralised Generation,Renewable,Wind,Swaziland,Swaziland,New Uncommitted,Bulk Wind (30% CF),yes
539,SWrERural,Swaziland,Demand,N/A,Electricity,Swaziland,Swaziland,N/A,Rural,yes
540,SWrETrans,Swaziland,Transmission (local),N/A,Electricity,Swaziland,Swaziland,N/A,Local,no
541,SWrEUrban,Swaziland,Demand,N/A,Electricity,Swaziland,Swaziland,N/A,Urban/Services/Small Industry,yes
542,SWrEXelc,Swaziland,Export,N/A,Electricity,Swaziland,Swaziland,N/A,Electricity Export,no
543,SWrGas,Swaziland,Energy Source,Not renewable,Gas,Swaziland,Swaziland,N/A,Gas,yes
544,SWrIMIelc,Swaziland,Import,N/A,Electricity,Swaziland,Swaziland,N/A,Electricity Import,no
545,SWrNuclear,Swaziland,Energy Source,Not renewable,Nuclear,Swaziland,Swaziland,N/A,Nuclear,yes
546,SWrOHF,Swaziland,Energy Source,Not renewable,OHF,Swaziland,Swaziland,N/A,OHF,yes
547,SWrOil,Swaziland,Energy Source,Not renewable,Oil,Swaziland,Swaziland,N/A,Oil,yes
548,TArBiomass,Tanzania,Energy Source,Renewable,Biomass,Tanzania,Tanzania,N/A,Biomass,yes
549,TArCoal,Tanzania,Energy Source,Not renewable,Coal,Tanzania,Tanzania,N/A,Coal,yes
550,TArCoalCCS,Tanzania,Energy Source,Not renewable,CoalCCS,Tanzania,Tanzania,N/A,CoalCCS,yes
551,TArCrude,Tanzania,Energy Source,Not renewable,Crude,Tanzania,Tanzania,N/A,Crude,yes
552,TArDiesel,Tanzania,Energy Source,Not renewable,Diesel,Tanzania,Tanzania,N/A,Diesel,yes
553,TArEBZ,Tanzania,Demand,N/A,Electricity,Tanzania,Tanzania,N/A,Unserved Energy,yes
554,TArEDist,Tanzania,Distribution,N/A,Electricity,Tanzania,Tanzania,N/A,Heavy Industry,no
555,TArEDistRural,Tanzania,Distribution,N/A,Electricity,Tanzania,Tanzania,N/A,Rural,no
556,TArEDistUrban,Tanzania,Distribution,N/A,Electricity,Tanzania,Tanzania,N/A,Urban/Services/Small Industry,no
557,TArEInd,Tanzania,Demand,N/A,Electricity,Tanzania,Tanzania,N/A,Heavy Industry,yes
558,TArEPBIONU,Tanzania,Centralised Generation,Renewable,Biomass,Tanzania,Tanzania,New Uncommitted,Biomass,yes
559,TArEPCOANCSCkiw,Tanzania,Centralised Generation,Not renewable,Coal,Tanzania,Tanzania,New Committed,Kiwira coal,yes
560,TArEPCOANUSC,Tanzania,Centralised Generation,Not renewable,Coal,Tanzania,Tanzania,New Uncommitted,Supercritical coal,yes
561,TArEPCOANUSCmch,Tanzania,Centralised Generation,Not renewable,Coal,Tanzania,Tanzania,New Uncommitted,Mchuchuma coal,yes
562,TArEPGASEXOC,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,Existing,Existing NatGas,yes
563,TArEPGASNUCC,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,New Uncommitted,CCGT,yes
564,TArEPGASNUCCkin,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,New Uncommitted,Kinyerezi gas,yes
565,TArEPGASNUOC,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,New Uncommitted,OCGT,yes
566,TArEPGASNUSO,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,New Uncommitted,Solar thermal with gas co-firing,yes
567,TArEPGEONU,Tanzania,Centralised Generation,Not renewable,Gas,Tanzania,Tanzania,New Uncommitted,Geothermal,yes
568,TArEPHYDEXLU,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,Existing,Large Hydros,yes
569,TArEPHYDEXoth,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,Existing,Other Hydros,yes
570,TArEPHYDNU,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Hydro,yes
571,TArEPHYDNUkak,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Kakono,yes
572,TArEPHYDNUmic,Tanzania,Distributed Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Small Hydro,yes
573,TArEPHYDNUmsg,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Masigira,yes
574,TArEPHYDNUruh,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Ruhudji,yes
575,TArEPHYDNUrum,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Rumakali,yes
576,TArEPHYDNUrus,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Rusomo,yes
577,TArEPHYDNUstg,Tanzania,Centralised Generation,Renewable,Hydro,Tanzania,Tanzania,New Uncommitted,Stieglers Gorge,yes
578,TArEPNUCNUPW,Tanzania,Centralised Generation,Not renewable,Nuclear,Tanzania,Tanzania,New Uncommitted,PWR nuclear,yes
579,TArEPODSEXOC,Tanzania,Centralised Generation,Not renewable,Oil,Tanzania,Tanzania,Existing,Existing Distillate,yes
580,TArEPODSNU,Tanzania,Centralised Generation,Not renewable,Oil,Tanzania,Tanzania,New Uncommitted,Diesel,yes
581,TArEPODSNUind,Tanzania,Distributed Generation,Not renewable,Oil,Tanzania,Tanzania,New Uncommitted,Diesel 100 kW system (industry),yes
582,TArEPODSNUrur,Tanzania,Distributed Generation,Not renewable,Oil,Tanzania,Tanzania,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
583,TArEPODSNUurb,Tanzania,Distributed Generation,Not renewable,Oil,Tanzania,Tanzania,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
584,TArEPOHFNU,Tanzania,Centralised Generation,Not renewable,Oil,Tanzania,Tanzania,New Uncommitted,HFO,yes
585,TArEPSOLNUPVrt,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,Solar PV (roof top - urban),yes
586,TArEPSOLNUPVrtru,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,Solar PV (roof top - rural),yes
587,TArEPSOLNUPVst,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
588,TArEPSOLNUPVst2,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
589,TArEPSOLNUPVstru,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,PV with 1h Battery (roof top - rural),yes
590,TArEPSOLNUPVstru2,Tanzania,Distributed Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,PV with 2h Battery (roof top - rural),yes
591,TArEPSOLNUPVut,Tanzania,Centralised Generation,Renewable,Solar PV,Tanzania,Tanzania,New Uncommitted,Solar PV (utility),yes
592,TArEPTSONUTH,Tanzania,Centralised Generation,Renewable,Solar Thermal,Tanzania,Tanzania,New Uncommitted,Solar thermal no storage,yes
593,TArEPTSONUTHst,Tanzania,Centralised Generation,Renewable,Solar Thermal,Tanzania,Tanzania,New Uncommitted,Solar thermal with Storage,yes
594,TArEPWNDNU25,Tanzania,Centralised Generation,Renewable,Wind,Tanzania,Tanzania,New Uncommitted,Bulk Wind (20% CF),yes
595,TArEPWNDNU30,Tanzania,Centralised Generation,Renewable,Wind,Tanzania,Tanzania,New Uncommitted,Bulk Wind (30% CF),yes
596,TArERural,Tanzania,Demand,N/A,Electricity,Tanzania,Tanzania,N/A,Rural,yes
597,TArETrans,Tanzania,Transmission (local),N/A,Electricity,Tanzania,Tanzania,N/A,Local,no
598,TArEUrban,Tanzania,Demand,N/A,Electricity,Tanzania,Tanzania,N/A,Urban/Services/Small Industry,yes
599,TArEXelc,Tanzania,Export,N/A,Electricity,Tanzania,Tanzania,N/A,Electricity Export,no
600,TArGas,Tanzania,Energy Source,Not renewable,Gas,Tanzania,Tanzania,N/A,Gas,yes
601,TArIMIelc,Tanzania,Import,N/A,Electricity,Tanzania,Tanzania,N/A,Electricity Import,no
602,TArNuclear,Tanzania,Energy Source,Not renewable,Nuclear,Tanzania,Tanzania,N/A,Nuclear,yes
603,TArOHF,Tanzania,Energy Source,Not renewable,OHF,Tanzania,Tanzania,N/A,OHF,yes
604,TArOil,Tanzania,Energy Source,Not renewable,Oil,Tanzania,Tanzania,N/A,Oil,yes
605,ZArBiomass,Zambia,Energy Source,Renewable,Biomass,Zambia,Zambia,N/A,Biomass,yes
606,ZArCoal,Zambia,Energy Source,Not renewable,Coal,Zambia,Zambia,N/A,Coal,yes
607,ZArCoalCCS,Zambia,Energy Source,Not renewable,CoalCCS,Zambia,Zambia,N/A,CoalCCS,yes
608,ZArCrude,Zambia,Energy Source,Not renewable,Crude,Zambia,Zambia,N/A,Crude,yes
609,ZArDiesel,Zambia,Energy Source,Not renewable,Diesel,Zambia,Zambia,N/A,Diesel,yes
610,ZArEBZ,Zambia,Demand,N/A,Electricity,Zambia,Zambia,N/A,Unserved Energy,yes
611,ZArEDist,Zambia,Distribution,N/A,Electricity,Zambia,Zambia,N/A,Heavy Industry,no
612,ZArEDistRural,Zambia,Distribution,N/A,Electricity,Zambia,Zambia,N/A,Rural,no
613,ZArEDistUrban,Zambia,Distribution,N/A,Electricity,Zambia,Zambia,N/A,Urban/Services/Small Industry,no
614,ZArEInd,Zambia,Demand,N/A,Electricity,Zambia,Zambia,N/A,Heavy Industry,yes
615,ZArEPBIONU,Zambia,Centralised Generation,Renewable,Biomass,Zambia,Zambia,New Uncommitted,Biomass,yes
616,ZArEPCOANUSC,Zambia,Centralised Generation,Not renewable,Coal,Zambia,Zambia,New Uncommitted,Supercritical coal,yes
617,ZArEPCOANUSCmaa,Zambia,Centralised Generation,Not renewable,Coal,Zambia,Zambia,New Uncommitted,Maamba Coal fired,yes
618,ZArEPGASNUCC,Zambia,Centralised Generation,Not renewable,Gas,Zambia,Zambia,New Uncommitted,CCGT,yes
619,ZArEPGASNUOC,Zambia,Centralised Generation,Not renewable,Gas,Zambia,Zambia,New Uncommitted,OCGT,yes
620,ZArEPGASNUSO,Zambia,Centralised Generation,Not renewable,Gas,Zambia,Zambia,New Uncommitted,Solar thermal with gas co-firing,yes
621,ZArEPGEONU,Zambia,Centralised Generation,Not renewable,Gas,Zambia,Zambia,New Uncommitted,Geothermal,yes
622,ZArEPHYDEXLU,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,Existing,Large Hydros,yes
623,ZArEPHYDEXoth,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,Existing,Other Hydros,yes
624,ZArEPHYDNU,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Hydro,yes
625,ZArEPHYDNUbat,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Batoka Gorge hydro,yes
626,ZArEPHYDNUdvg,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Devils Gorge,yes
627,ZArEPHYDNUite,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Itezhi-Tezhi hydro,yes
628,ZArEPHYDNUIus,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Lusiwasi,yes
629,ZArEPHYDNUkab,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Kabompo,yes
630,ZArEPHYDNUkal,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Kalungwishi hydro,yes
631,ZArEPHYDNUkne,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Kariba North Extension hydro,yes
632,ZArEPHYDNUlun,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Lunsenfwa,yes
633,ZArEPHYDNUmam,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Mambililma Falls,yes
634,ZArEPHYDNUmic,Zambia,Distributed Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Small Hydro,yes
635,ZArEPHYDNUmpg,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Mpata Gorge,yes
636,ZArEPHYDNUmum,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Mumbotula Fall,yes
637,ZArEPHYDNUrkgl,Zambia,Centralised Generation,Renewable,Hydro,Zambia,Zambia,New Uncommitted,Kafue Gorge Lower hydro,yes
638,ZArEPNUCNUPW,Zambia,Centralised Generation,Not renewable,Nuclear,Zambia,Zambia,New Uncommitted,PWR nuclear,yes
639,ZArEPODSEXOC,Zambia,Centralised Generation,Not renewable,Oil,Zambia,Zambia,Existing,Diesel,yes
640,ZArEPODSNU,Zambia,Centralised Generation,Not renewable,Oil,Zambia,Zambia,New Uncommitted,Diesel,yes
641,ZArEPODSNUind,Zambia,Distributed Generation,Not renewable,Oil,Zambia,Zambia,New Uncommitted,Diesel 100 kW system (industry),yes
642,ZArEPODSNUrur,Zambia,Distributed Generation,Not renewable,Oil,Zambia,Zambia,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
643,ZArEPODSNUurb,Zambia,Distributed Generation,Not renewable,Oil,Zambia,Zambia,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
644,ZArEPOHFNU,Zambia,Centralised Generation,Not renewable,Oil,Zambia,Zambia,New Uncommitted,HFO,yes
645,ZArEPSOLNUPVrt,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,Solar PV (roof top - urban),yes
646,ZArEPSOLNUPVrtru,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,Solar PV (roof top - rural),yes
647,ZArEPSOLNUPVst,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
648,ZArEPSOLNUPVst2,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
649,ZArEPSOLNUPVstru,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,PV with 1h Battery (roof top - rural),yes
650,ZArEPSOLNUPVstru2,Zambia,Distributed Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,PV with 2h Battery (roof top - rural),yes
651,ZArEPSOLNUPVut,Zambia,Centralised Generation,Renewable,Solar PV,Zambia,Zambia,New Uncommitted,Solar PV (utility),yes
652,ZArEPTSONUTH,Zambia,Centralised Generation,Renewable,Solar Thermal,Zambia,Zambia,New Uncommitted,Solar thermal no storage,yes
653,ZArEPTSONUTHst,Zambia,Centralised Generation,Renewable,Solar Thermal,Zambia,Zambia,New Uncommitted,Solar thermal with Storage,yes
654,ZArEPWNDNU25,Zambia,Centralised Generation,Renewable,Wind,Zambia,Zambia,New Uncommitted,Bulk Wind (20% CF),yes
655,ZArEPWNDNU30,Zambia,Centralised Generation,Renewable,Wind,Zambia,Zambia,New Uncommitted,Bulk Wind (30% CF),yes
656,ZArERural,Zambia,Demand,N/A,Electricity,Zambia,Zambia,N/A,Rural,yes
657,ZArETrans,Zambia,Transmission (local),N/A,Electricity,Zambia,Zambia,N/A,Local,no
658,ZArEUrban,Zambia,Demand,N/A,Electricity,Zambia,Zambia,N/A,Urban/Services/Small Industry,yes
659,ZArEXelc,Zambia,Export,N/A,Electricity,Zambia,Zambia,N/A,Electricity Export,no
660,ZArGas,Zambia,Energy Source,Not renewable,Gas,Zambia,Zambia,N/A,Gas,yes
661,ZArIMIelc,Zambia,Import,N/A,Electricity,Zambia,Zambia,N/A,Electricity Import,no
662,ZArNuclear,Zambia,Energy Source,Not renewable,Nuclear,Zambia,Zambia,N/A,Nuclear,yes
663,ZArOHF,Zambia,Energy Source,Not renewable,OHF,Zambia,Zambia,N/A,OHF,yes
664,ZArOil,Zambia,Energy Source,Not renewable,Oil,Zambia,Zambia,N/A,Oil,yes
665,ZIrBiomass,Zimbabwe,Energy Source,Renewable,Biomass,Zimbabwe,Zimbabwe,N/A,Biomass,yes
666,ZIrCoal,Zimbabwe,Energy Source,Not renewable,Coal,Zimbabwe,Zimbabwe,N/A,Coal,yes
667,ZIrCoalCCS,Zimbabwe,Energy Source,Not renewable,CoalCCS,Zimbabwe,Zimbabwe,N/A,CoalCCS,yes
668,ZIrCrude,Zimbabwe,Energy Source,Not renewable,Crude,Zimbabwe,Zimbabwe,N/A,Crude,yes
669,ZIrDiesel,Zimbabwe,Energy Source,Not renewable,Diesel,Zimbabwe,Zimbabwe,N/A,Diesel,yes
670,ZIrEBZ,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Unserved Energy,yes
671,ZIrEDist,Zimbabwe,Distribution,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Heavy Industry,no
672,ZIrEDistRural,Zimbabwe,Distribution,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Rural,no
673,ZIrEDistUrban,Zimbabwe,Distribution,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Urban/Services/Small Industry,no
674,ZIrEInd,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Heavy Industry,yes
675,ZIrEPBIONU,Zimbabwe,Centralised Generation,Renewable,Biomass,Zimbabwe,Zimbabwe,New Uncommitted,Biomass,yes
676,ZIrEPCOAEXPF,Zimbabwe,Centralised Generation,Not renewable,Coal,Zimbabwe,Zimbabwe,Existing,Existing Coal,yes
677,ZIrEPCOANUSC,Zimbabwe,Centralised Generation,Not renewable,Coal,Zimbabwe,Zimbabwe,New Uncommitted,Supercritical coal,yes
678,ZIrEPCOANUSCgon,Zimbabwe,Centralised Generation,Not renewable,Coal,Zimbabwe,Zimbabwe,New Uncommitted,Gokwe North coal,yes
679,ZIrEPCOANUSChwa,Zimbabwe,Centralised Generation,Not renewable,Coal,Zimbabwe,Zimbabwe,New Uncommitted,Hwange 7-8 coal,yes
680,ZIrEPCOCNUCCS,Zimbabwe,Centralised Generation,Not renewable,Coal,Zimbabwe,Zimbabwe,New Uncommitted,Supercritical coal w CCS,yes
681,ZIrEPGASNUCC,Zimbabwe,Centralised Generation,Not renewable,Gas,Zimbabwe,Zimbabwe,New Uncommitted,CCGT,yes
682,ZIrEPGASNUCClup,Zimbabwe,Centralised Generation,Not renewable,Gas,Zimbabwe,Zimbabwe,New Uncommitted,Lupane gas,yes
683,ZIrEPGASNUOC,Zimbabwe,Centralised Generation,Not renewable,Gas,Zimbabwe,Zimbabwe,New Uncommitted,OCGT,yes
684,ZIrEPGASNUSO,Zimbabwe,Centralised Generation,Not renewable,Gas,Zimbabwe,Zimbabwe,New Uncommitted,Solar thermal with gas co-firing,yes
685,ZIrEPGEONU,Zimbabwe,Centralised Generation,Not renewable,Gas,Zimbabwe,Zimbabwe,New Uncommitted,Geothermal,yes
686,ZIrEPHYDEX,Zimbabwe,Centralised Generation,Renewable,Hydro,Zimbabwe,Zimbabwe,Existing,Kariba South,yes
687,ZIrEPHYDNU,Zimbabwe,Centralised Generation,Renewable,Hydro,Zimbabwe,Zimbabwe,New Uncommitted,Hydro,yes
688,ZIrEPHYDNUbat,Zimbabwe,Centralised Generation,Renewable,Hydro,Zimbabwe,Zimbabwe,New Uncommitted,Batoka Gorge hydro,yes
689,ZIrEPHYDNUkse,Zimbabwe,Centralised Generation,Renewable,Hydro,Zimbabwe,Zimbabwe,New Uncommitted,Kariba South Extension hydro,yes
690,ZIrEPHYDNUmic,Zimbabwe,Distributed Generation,Renewable,Hydro,Zimbabwe,Zimbabwe,New Uncommitted,Small Hydro,yes
691,ZIrEPNUCNUPW,Zimbabwe,Centralised Generation,Not renewable,Nuclear,Zimbabwe,Zimbabwe,New Uncommitted,PWR nuclear,yes
692,ZIrEPODSNU,Zimbabwe,Centralised Generation,Not renewable,Oil,Zimbabwe,Zimbabwe,New Uncommitted,Diesel,yes
693,ZIrEPODSNUind,Zimbabwe,Distributed Generation,Not renewable,Oil,Zimbabwe,Zimbabwe,New Uncommitted,Diesel 100 kW system (industry),yes
694,ZIrEPODSNUrur,Zimbabwe,Distributed Generation,Not renewable,Oil,Zimbabwe,Zimbabwe,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
695,ZIrEPODSNUurb,Zimbabwe,Distributed Generation,Not renewable,Oil,Zimbabwe,Zimbabwe,New Uncommitted,Diesel/Gasoline 1kW system (residential/commercial),yes
696,ZIrEPOHFNU,Zimbabwe,Centralised Generation,Not renewable,Oil,Zimbabwe,Zimbabwe,New Uncommitted,HFO,yes
697,ZIrEPSOLNUPVrt,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,Solar PV (roof top - urban),yes
698,ZIrEPSOLNUPVrtru,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,Solar PV (roof top - rural),yes
699,ZIrEPSOLNUPVst,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 1hr Battery (roof top - urban),yes
700,ZIrEPSOLNUPVst2,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 2hr Battery (roof top - urban),yes
701,ZIrEPSOLNUPVstru,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 1h Battery (roof top - rural),yes
702,ZIrEPSOLNUPVstru2,Zimbabwe,Distributed Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,PV with 2h Battery (roof top - rural),yes
703,ZIrEPSOLNUPVut,Zimbabwe,Centralised Generation,Renewable,Solar PV,Zimbabwe,Zimbabwe,New Uncommitted,Solar PV (utility),yes
704,ZIrEPTSONUTH,Zimbabwe,Centralised Generation,Renewable,Solar Thermal,Zimbabwe,Zimbabwe,New Uncommitted,Solar thermal no storage,yes
705,ZIrEPTSONUTHst,Zimbabwe,Centralised Generation,Renewable,Solar Thermal,Zimbabwe,Zimbabwe,New Uncommitted,Solar thermal with Storage,yes
706,ZIrEPWNDNU25,Zimbabwe,Centralised Generation,Renewable,Wind,Zimbabwe,Zimbabwe,New Uncommitted,Bulk Wind (20% CF),yes
707,ZIrEPWNDNU30,Zimbabwe,Centralised Generation,Renewable,Wind,Zimbabwe,Zimbabwe,New Uncommitted,Bulk Wind (30% CF),yes
708,ZIrERural,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Rural,yes
709,ZIrETrans,Zimbabwe,Transmission (local),N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Local,no
710,ZIrEUrban,Zimbabwe,Demand,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Urban/Services/Small Industry,yes
711,ZIrEXelc,Zimbabwe,Export,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Electricity Export,no
712,ZIrGas,Zimbabwe,Energy Source,Not renewable,Gas,Zimbabwe,Zimbabwe,N/A,Gas,yes
713,ZIrIMIelc,Zimbabwe,Import,N/A,Electricity,Zimbabwe,Zimbabwe,N/A,Electricity Import,no
714,ZIrNuclear,Zimbabwe,Energy Source,Not renewable,Nuclear,Zimbabwe,Zimbabwe,N/A,Nuclear,yes
715,ZIrOHF,Zimbabwe,Energy Source,Not renewable,OHF,Zimbabwe,Zimbabwe,N/A,OHF,yes
716,ZIrOil,Zimbabwe,Energy Source,Not renewable,Oil,Zimbabwe,Zimbabwe,N/A,Oil,yes
717,DemTech,Main,DemTech,N/A,DemTech,Main,Main,N/A,N/A,no
